SCN_ID	ROM_ID
022B	0154	DIMUseObject
022C	0478	CrackAnimator
022D	02FD	WL_Column_lump
022E	04B6	fish
022F	0245	SHriver
0230	04E2	TriggerCylinder
0231	037F	NWSH_Sacrifice
0232	038F	CCSHcol
0233	0390	CCSH_Shrine
0234	0391	CCSH_Spirit
0235	0392	CCSH_SpiritPriz
0236	0393	CCSH_ObjCreator
0237	FFFF	NULL
0238	0394	CCSH_Door1
0239	0395	CCSH_Door2
023A	0396	CCSH_Door3
023B	041D	WGSHcol
023C	041E	WGSH_Shrine
023D	041F	WGSH_Spirit
023E	0420	WGSH_SpiritPriz
023F	0422	WGSH_Door1
0240	0423	WGSH_Door2
0241	0424	WGSH_Door3
0242	0425	WGSH_Door4
0243	0421	WGSH_ObjCreator
0244	FFFF	NULL
0245	0397	CCSH_Door4
0246	012B	DIMBridgeCogCol
0247	043D	ProjectileTarge
0248	041C	WGSH_flybaddie
0249	FFFF	NULL
024A	013E	DIMMetalDoor
024B	0142	DIMWoodDoor
024C	0054	DIM_BossGutSpik
024D	0053	DIM_BossTonsil
024E	FFFF	NULL
024F	0473	HitAnimator
0250	0147	DIMAlpineRootAn
0251	0021	WaterBaddie
0252	FFFF	NULL
0253	0138	DIMExplosion
0254	FFFF	NULL
0255	FFFF	NULL
0256	FFFF	NULL
0257	0155	DIMMagicBridge
0258	FFFF	NULL
0259	0303	WLFireFly
025A	0006	AnimKyte
025B	FFFF	NULL
025C	0200	EWTrobotpatrolB
025D	0020	WallCrawler
025E	FFFF	NULL
025F	031C	WL_seqpoint
0260	FFFF	NULL
0261	FFFF	NULL
0262	02FF	WL_Crystal
0263	045D	LFXEmitter
0264	02FE	WL_SpiritSet
0265	02FC	WM_WarpPoint
0266	FFFF	NULL
0267	FFFF	NULL
0268	0300	WL_Planet
0269	0495	IllusionSpell
026A	0081	CFPrisonLock
026B	FFFF	NULL
026C	FFFF	NULL
026D	FFFF	NULL
026E	FFFF	NULL
026F	FFFF	NULL
0270	FFFF	NULL
0271	02FA	WM_MoonSeedMoun
0272	02FB	WM_PureMagic
0273	02F8	WM_NoPassVine
0274	FFFF	NULL
0275	02F3	WM_WallCrawler
0276	0301	WL_PlanetMoon
0277	0302	WL_VConsole
0278	025D	SC_sequences
0279	FFFF	NULL
027A	0265	SC_animbabyligh
027B	0260	SC_lightfoot
027C	0261	SC_babylightfoo
027D	0263	SC_animlightfoo
027E	025E	SC_warppoint
027F	0267	SC_golden_nugge
0280	01DD	DF_Lantern
0281	0015	SCguardclaw
0282	025C	SC_levelcontrol
0283	0318	WM_AnimWizard
0284	0319	WL_Animcolrise
0285	043B	sfxPlayer
0286	02F2	WM5pushcrate
0287	02F1	WMconsolestone
0288	026B	SC_mounddoor
0289	026C	SC_settelmentdo
028A	0270	SC_beacon
028B	0264	SC_animchieflig
028C	02F9	WM_NoPassHorzVi
028D	0032	Tumbleweedbush1
028E	FFFF	NULL
028F	0269	SC_statue
0290	0056	DIM_BossSpit
0291	FFFF	NULL
0292	025F	SC_chieflightfo
0293	02F6	WM_Walkway1
0294	02F7	WM_Walkway2
0295	02F4	WM_Platform
0296	FFFF	NULL
0297	FFFF	NULL
0298	FFFF	NULL
0299	FFFF	NULL
029A	FFFF	NULL
029B	0181	MAGICMaker
029C	00A4	CFBigTreasureCh
029D	FFFF	NULL
029E	02F5	WM_MovePlatform
029F	046D	SabreArms
02A0	FFFF	NULL
02A1	0095	CFAttractor
02A2	00CE	CFTreasRobo
02A3	00A2	CFSupTreasureCh
02A4	009A	CFMagicWall
02A5	00C8	CFExplodeTunnel
02A6	00C7	CFBlastedTunnel
02A7	FFFF	NULL
02A8	00D2	CFTreasureChest
02A9	FFFF	NULL
02AA	FFFF	NULL
02AB	005B	BossDrakor
02AC	015A	DIM2Torch
02AD	FFFF	NULL
02AE	FFFF	NULL
02AF	FFFF	NULL
02B0	007A	CFLevelControl
02B1	FFFF	NULL
02B2	0096	CFAnimSnowBike
02B3	FFFF	NULL
02B4	0097	CFRemovalSharpy
02B5	0098	CFChuckObj1
02B6	0099	CFChuckObj2
02B7	02F0	WMlargerock
02B8	FFFF	NULL
02B9	0018	RopeBaddie
02BA	00E2	CFTearDrop
02BB	02EF	WMfallencol
02BC	02EE	WMrock
02BD	02ED	WMsun
02BE	FFFF	NULL
02BF	00CD	CFseqobjectlev
02C0	04C6	MagicPlant
02C1	0199	IMIcePillar
02C2	02EC	WMinroom
02C3	02BB	VFP_ObjCreator
02C4	04C7	MagicDustSmall
02C5	0202	MMP_barrel
02C6	00E3	CFliftplat
02C7	039A	DB_WaterGate
02C8	039F	DB_RockFall
02C9	03A0	DB_RockFallgen
02CA	0012	Chucka
02CB	0040	ChukaChuck
02CC	0203	MMP_seqobject
02CD	04C9	MagicDustMid
02CE	04CB	MagicDustLarge
02CF	04CD	MagicDustHuge
02D0	0019	SabreBaddie
02D1	03A8	DBseqobject
02D2	03A9	DBsplashy
02D3	0205	MMP_defenDoorL
02D4	0206	MMP_defenDoorR
02D5	0207	MMP_padlock
02D6	0449	kyteFireFlys
02D7	04B8	curvefish
02D8	044D	FlameObject
02D9	04B7	colourfullfish
02DA	048E	beanPickup
02DB	04AA	foodbagGreenBea
02DC	04B5	treebean
02DD	042D	RollingTrex
02DE	01A8	CCguardgiving
02DF	03A1	DB_egg
02E0	FFFF	NULL
02E1	03A3	DBPointMum
02E2	02EB	WM_BossDrakor
02E3	01A9	CClogpush
02E4	01AA	CCseqobject
02E5	01AC	CCgolden_nugget
02E6	01C6	CCkrazoaTablet
02E7	01C2	CCLever
02E8	01B3	CCfirecrystalin
02E9	01C9	CClevcontrol
02EA	01CA	CCvines
02EB	01B2	CCfirecrystal
02EC	01B1	CCbeacon
02ED	01C5	CCKrazoaTabletP
02EE	022F	SHtricky
02EF	01C3	CCkrazoabright
02F0	01C4	CCfloor
02F1	01AD	CCcage
02F2	0197	IMMultiSeq
02F3	01AE	CClightfoot
02F4	01AF	CCspellpage
02F5	01B0	CCclawdoor
02F6	03A4	DBTrigger
02F7	03A5	DBSpike
02F8	0011	EnergyCoil
02F9	02EA	WMtesla
02FA	FFFF	NULL
02FB	01A3	IMSpaceThruster
02FC	004E	CannonClaw
02FD	03A6	DBPlaceHolder
02FE	03A7	DBFloodWater
02FF	02BA	VFP_LevelContro
0300	0398	DBlevelControl
0301	01A4	IMSpaceRing
0302	01A6	IMSpaceRingGen
0303	03AA	DBFire
0304	01A5	IMSpaceTractor
0305	0399	DBFireBall
0306	001D	SnowWormSmall
0307	FFFF	NULL
0308	FFFF	NULL
0309	03AB	DBmap
030A	003F	IceBallSmall
030B	0204	MMP_telescope
030C	03AC	DBMagicBridge
030D	03AD	DBDiamond
030E	FFFF	NULL
030F	013F	DIMBikeDoor
0310	005C	BossDrakorGalax
0311	000B	Animclub
0312	0159	DIM_LevelContro
0313	04A8	foodbagNewMeat
0314	04A6	foodbagNewFish
0315	01C7	CCkrazoaRecepta
0316	01B4	CCdockdoor1
0317	01B5	CCdockdoor2
0318	01B6	CCcageSupport
0319	0146	DIMAlpineRoot2
031A	0157	DIMTruthHornPla
031B	0213	NWseqobject
031C	04CF	TrickyWarp
031D	01B7	CCCellKey
031E	01B8	CCCellDoor
031F	0227	NWtricky
0320	FFFF	NULL
0321	01B9	CCportcullis
0322	01BA	CCkdoor1
0323	01BB	CCkdoor2
0324	01BC	CCkdoor3
0325	01BD	CCkdoor4
0326	01BE	CCkdoor5
0327	042E	RollingMinedoor
0328	042F	RollingStatueAn
0329	042C	Bronto
032A	0430	RD_seqobj
032B	FFFF	NULL
032C	FFFF	NULL
032D	03B0	DBExpWall
032E	FFFF	NULL
032F	03B3	DBExpbit
0330	FFFF	NULL
0331	03B4	DBwhitehole
0332	00A9	CF_MovDeckDoor
0333	0140	DIMTent
0334	0141	DIMBigTent
0335	03B5	DBwaterhole
0336	FFFF	NULL
0337	0016	Lunimar
0338	0143	DIMWoodDoor2
0339	03B6	DBbignest
033A	FFFF	NULL
033B	0273	SC_totembond
033C	03B7	DBwaterplant
033D	02E9	WM_Spellbook
033E	02E5	WMKrazoa1
033F	02E6	WMKrazoa2
0340	02E7	WMthorntailanim
0341	02E8	WMthorntailanim
0342	FFFF	NULL
0343	03B8	DBwaterspray
0344	02E4	WMBossDrakorhea
0345	03B9	DBWaterCurve
0346	FFFF	NULL
0347	03BA	DBplatform
0348	03AE	DBAnimDiamond
0349	03BB	DBlgtbeam
034A	0055	DIM_BossIceSmash
034B	03BC	DBbridgeanim
034C	03BD	DBshooterball
034D	03BF	DBbullet
034E	FFFF	NULL
034F	03C0	DBNatShield
0350	03C1	DBKillBot
0351	03C2	DBSupShield
0352	03C3	DBDustGeezer
0353	03C4	DBbonedust
0354	0459	AreaFXEmit
0355	03C5	DBkillboulder
0356	039B	DB_WaterGaterig
0357	FFFF	NULL
0358	001C	SandGrabber
0359	03C6	DBScaleTile
035A	03A2	DB_AnimEgg
035B	03B1	DBEggBroke1
035C	03B2	DBEggBroke2
035D	FFFF	NULL
035E	045B	TAreaFXEmit
035F	0246	SHwaterlily
0360	0262	SC_lightfootSpe
0361	008B	AnimSpell
0362	FFFF	NULL
0363	00D0	CFAnimPowerRoom
0364	005D	BossDrakorNebul
0365	0022	Swoop
0366	0059	BossDrakorLevel
0367	0248	SHroot
0368	045C	DoorOpen
0369	0029	BassaltWeavel
036A	00E5	CF_WallTorch
036B	033F	DFSH_LaserBeam
036C	00C6	CFExplodePieces
036D	023B	SHrocketmushroo
036E	023E	SHmushroombit
036F	0373	DBSH_Torch
0370	005E	BossDrakorNebul
0371	002C	Caictua
0372	0041	Caictua_Thorn
0373	0183	GPSharpClaw
0374	0182	GPSeqObject
0375	0184	GP_LevelControl
0376	005F	BossDrakorDiamo
0377	045A	WaterFallSpray
0378	01DE	DFlevelcontrol
0379	FFFF	NULL
037A	030F	WL_PlanDoor1
037B	0310	WL_PlanDoor2
037C	0311	WL_PlanDoor3
037D	0312	WL_PlanDoor4
037E	01EA	DFdebris1piece
037F	0232	SHredflower
0380	FFFF	NULL
0381	0060	BossDrakorQuake
0382	0233	SHblueflower
0383	044A	FlameWall
0384	044B	PerchObject
0385	FFFF	NULL
0386	044E	FindKyteObject
0387	01EC	DFdebris3piece
0388	FFFF	NULL
0389	00E9	CRSnowClaw
038A	00EA	CRSnowClaw2
038B	00E7	CRCloudRace
038C	00EC	CRSnowBike
038D	00ED	CRSnowClawBike
038E	00EE	CRSnowClawBike2
038F	0271	SC_totempole
0390	00F1	CRSpellstone
0391	0125	DIMMagicLight
0392	00F0	AnimSpellstone
0393	0277	SC_BirchTree
0394	0084	CFWaterDoor
0395	01FD	DFmole
0396	FFFF	NULL
0397	00F6	AnimQueenEarthW
0398	0431	RD_smallpalm
0399	0432	RD_mediumpalm
039A	0433	RD_palmleaf
039B	0268	SC_totblocks
039C	0276	SC_totemstrengt
039D	0046	Tumbleweed1
039E	044F	KyteCurveCreate
039F	FFFF	NULL
03A0	02B9	VFP_MiniFire
03A1	01FA	DFSH_Door2Speci
03A2	01FB	DFSH_Door3Speci
03A3	01FC	DFSH_Door4Speci
03A4	0278	SC_Lantern
03A5	00C9	CFExplodeTunnPi
03A6	02B3	VFP_statuea
03A7	02B4	VFP_Maindoor
03A8	02B6	VFP_Door2
03A9	02B8	VFP_statueball
03AA	02B5	VFP_Maindoor2
03AB	02B7	VFP_Door2B
03AC	02B0	VFP_Doorlock
03AD	02B1	VFP_statue
03AE	02B2	VFP_statueb
03AF	002A	BigScorpionRobot
03B0	02AF	VFP_Ladders
03B1	03D7	DR_Platform
